lat,lng,time,id
26.162202,119.943787,1239803040000,180
26.161528,119.943234,1239803045000,180
26.1619,119.943228,1239803050000,180
26.161775,119.943276,1239803055000,180
26.161667,119.943281,1239803060000,180
26.16167,119.943128,1239803065000,180
26.161566,119.942352,1239803070000,180
26.161558,119.942401,1239803075000,180
26.161482,119.942477,1239803080000,180
26.161461,119.942491,1239803085000,180
26.16143,119.94253,1239803090000,180
26.161413,119.942552,1239803095000,180
26.161411,119.942557,1239803100000,180
26.161408,119.942562,1239803105000,180
26.161405,119.942565,1239803110000,180
26.161404,119.94257,1239803115000,180
26.161403,119.942574,1239803120000,180
26.161401,119.942577,1239803125000,180
26.1614,119.942578,1239803130000,180
26.161399,119.942579,1239803135000,180
26.161398,119.942579,1239803140000,180
26.161397,119.94258,1239803145000,180
26.161396,119.94258,1239803150000,180
26.161396,119.942581,1239803155000,180
26.161395,119.942582,1239803160000,180
26.161395,119.942582,1239803165000,180
26.161394,119.942582,1239803170000,180
26.161393,119.942582,1239803175000,180
26.161393,119.942582,1239803178000,180
26.161392,119.942583,1239803180000,180
26.161155,119.94247,1239808650000,180
26.161101,119.942473,1239808655000,180
26.161099,119.942489,1239808660000,180
26.16108,119.94249,1239808665000,180
26.161082,119.942502,1239808670000,180
26.161107,119.942498,1239808675000,180
26.161114,119.942497,1239808680000,180
26.161114,119.942497,1239808683000,180
26.161116,119.942503,1239808685000,180
26.161119,119.942512,1239808690000,180
26.161119,119.942512,1239808693000,180
26.161122,119.942516,1239808695000,180
26.161126,119.942525,1239808700000,180
26.161129,119.942538,1239808705000,180
26.161162,119.942564,1239808710000,180
26.161222,119.942576,1239808715000,180
26.161243,119.942555,1239808720000,180
26.161255,119.942514,1239808725000,180
26.161265,119.942481,1239808730000,180
26.161257,119.942457,1239808735000,180
26.161278,119.942442,1239808740000,180
26.161274,119.942435,1239808745000,180
26.161274,119.942431,1239808750000,180
26.161275,119.942434,1239808755000,180
26.161274,119.942432,1239808760000,180
26.161274,119.942427,1239808765000,180
26.161274,119.942427,1239808768000,180
26.161275,119.942434,1239808770000,180
26.1613,119.942437,1239808775000,180
26.161298,119.942449,1239808780000,180
26.161347,119.942451,1239808785000,180
26.161349,119.942461,1239808790000,180
26.161349,119.942461,1239808793000,180
26.161351,119.942467,1239808795000,180
26.161408,119.942499,1239808800000,180
26.161458,119.942532,1239808805000,180
26.161442,119.942512,1239808810000,180
26.161442,119.942516,1239808815000,180
26.16144,119.94251,1239808820000,180
26.16144,119.942511,1239808825000,180
26.16144,119.942511,1239808828000,180
26.16144,119.942515,1239808830000,180
26.16144,119.942524,1239808835000,180
26.161439,119.942529,1239808840000,180
26.161439,119.942532,1239808845000,180
26.161437,119.942533,1239808850000,180
26.161435,119.942534,1239808855000,180
26.161434,119.942536,1239808860000,180
26.161436,119.942542,1239808865000,180
26.161436,119.942542,1239808868000,180
26.161435,119.942544,1239808870000,180
26.161432,119.942532,1239808875000,180
26.161432,119.94253,1239808880000,180
26.161433,119.94253,1239808885000,180
26.161433,119.942525,1239808890000,180
26.161433,119.942525,1239808893000,180
26.161434,119.942529,1239808895000,180
26.16146,119.942562,1239808900000,180
26.161484,119.942594,1239808905000,180
26.161499,119.942583,1239808910000,180
26.161489,119.942566,1239808915000,180
26.161487,119.942556,1239808920000,180
26.161501,119.942565,1239808925000,180
26.161511,119.942567,1239808930000,180
26.161529,119.942568,1239808935000,180
26.161529,119.942568,1239808938000,180
26.161531,119.942573,1239808940000,180
26.161545,119.94255,1239808945000,180
26.161519,119.942526,1239808950000,180
26.161519,119.942526,1239808953000,180
26.161516,119.942521,1239808955000,180
26.161513,119.94251,1239808960000,180
26.161509,119.942503,1239808965000,180
26.161507,119.942502,1239808970000,180
26.161506,119.942505,1239808975000,180
26.161506,119.942505,1239808978000,180
26.161507,119.942512,1239808980000,180
26.161509,119.942523,1239808985000,180
26.161508,119.942527,1239808990000,180
26.161508,119.942527,1239808993000,180
26.161509,119.94253,1239808995000,180
26.161499,119.942574,1239809000000,180
26.161464,119.942565,1239809005000,180
26.161439,119.942531,1239809010000,180
26.161437,119.942524,1239809015000,180
26.161436,119.942518,1239809020000,180
26.161436,119.942518,1239809023000,180
26.161436,119.942518,1239809025000,180
39.976216,116.330258,1241619999000,180
39.976203,116.330232,1241620004000,180
39.976203,116.330232,1241620007000,180
39.976198,116.330228,1241620009000,180
39.976189,116.330222,1241620014000,180
39.976189,116.330222,1241620017000,180
39.976189,116.330227,1241620019000,180
39.976207,116.330229,1241620024000,180
39.976203,116.330227,1241620029000,180
39.976202,116.330226,1241620034000,180
39.9762,116.330225,1241620039000,180
39.976199,116.330226,1241620044000,180
39.976196,116.330225,1241620049000,180
39.976196,116.330225,1241620052000,180
39.976197,116.330227,1241620054000,180
39.976229,116.330479,1241707978000,180
39.976334,116.330551,1241707980000,180
39.97633,116.330527,1241707985000,180
39.976361,116.330534,1241707990000,180
39.976366,116.330533,1241707995000,180
39.976359,116.330528,1241708000000,180
39.976359,116.330522,1241708005000,180
39.976359,116.330522,1241708008000,180
39.976353,116.330515,1241708010000,180
39.97636,116.330526,1241708015000,180
39.976377,116.330523,1241708020000,180
39.976377,116.330523,1241708023000,180
39.976372,116.330523,1241708025000,180
39.976369,116.330513,1241708030000,180
39.976369,116.330513,1241708033000,180
39.976364,116.330518,1241708035000,180
39.11965,116.369462,1243545454000,180
